id,mig_year,autumn_locs,autumn_start,autumn_end,spring_locs,spring_start,spring_end,mean_spring,prop_locs_in_mag
REKI_1,2020,101,2020-12-07T11:08:00Z,2020-12-19T17:00:00Z,140,2021-01-31T05:00:00Z,2021-02-13T19:00:00Z,2021-02-07T00:00:00Z,0.207142857142857
REKI_1006,2020,969,2020-08-23T03:00:35Z,2020-10-03T20:54:24Z,1175,2021-05-02T03:10:24Z,2021-06-12T20:45:08Z,2021-05-22T23:57:46Z,0.870855148342059
REKI_1007,2020,1271,2020-09-13T03:00:45Z,2020-10-17T18:12:18Z,1182,2021-05-30T05:04:40Z,2021-07-03T20:39:14Z,2021-06-16T12:51:57Z,0.094921689606075
REKI_103,2016,140,2016-10-30T03:00:00Z,2016-11-12T19:00:00Z,98,2017-02-12T03:00:00Z,2017-02-18T17:00:00Z,2017-02-15T10:00:00Z,0
REKI_104,2016,448,2016-09-18T05:00:00Z,2016-10-22T20:00:00Z,27,2017-06-25T00:00:00Z,2017-07-01T12:00:00Z,2017-06-28T06:00:00Z,0
REKI_108,2016,250,2016-09-18T03:00:00Z,2016-10-22T18:00:00Z,219,2017-03-05T05:00:00Z,2017-03-18T21:00:00Z,2017-03-12T01:00:00Z,0
REKI_11,2016,147,2016-12-11T03:00:00Z,2016-12-31T15:00:00Z,69,2017-02-12T03:00:00Z,2017-02-18T21:00:00Z,2017-02-15T12:00:00Z,0
REKI_113,2016,155,2016-09-25T03:00:00Z,2016-10-08T21:00:00Z,194,2017-03-12T03:00:00Z,2017-03-25T20:00:00Z,2017-03-18T23:30:00Z,0
REKI_115,2016,301,2016-11-06T03:00:00Z,2016-12-03T20:00:00Z,93,2017-02-12T04:00:00Z,2017-02-18T16:00:00Z,2017-02-15T10:00:00Z,0
REKI_119,2016,99,2016-10-02T03:00:00Z,2016-10-08T21:00:00Z,310,2017-02-12T03:00:00Z,2017-06-17T18:00:00Z,2017-04-15T22:30:00Z,0.425694066412629
REKI_12,2016,213,2016-09-25T04:00:00Z,2016-10-15T21:00:00Z,355,2017-04-09T05:00:00Z,2017-04-29T21:00:00Z,2017-04-19T13:00:00Z,0.259154929577465
REKI_124,2016,240,2016-10-02T03:00:00Z,2016-10-22T21:00:00Z,178,2017-03-05T03:00:00Z,2017-04-08T18:00:00Z,2017-03-22T10:30:00Z,0.0141242937853107
REKI_129,2016,233,2016-11-06T03:00:00Z,2016-12-03T21:00:00Z,198,2017-02-12T05:00:00Z,2017-02-25T20:00:00Z,2017-02-19T00:30:00Z,0
REKI_130,2016,302,2016-11-13T03:00:00Z,2016-12-31T19:00:00Z,178,2017-01-08T04:00:00Z,2017-02-11T21:00:00Z,2017-01-25T12:30:00Z,0.720481927710844
REKI_142,2015,237,2015-09-27T00:00:00Z,2015-10-10T23:00:00Z,282,2016-04-10T02:59:00Z,2016-04-30T20:00:00Z,2016-04-20T11:29:30Z,0.294326241134752
REKI_15,2016,48,2016-09-18T04:00:00Z,2016-10-01T15:00:00Z,94,2017-02-12T03:00:00Z,2017-03-11T19:00:00Z,2017-02-25T23:00:00Z,0
REKI_150,2015,324,2015-08-09T00:00:00Z,2015-10-31T20:00:00Z,359,2016-03-20T03:00:00Z,2016-05-14T19:00:00Z,2016-04-16T23:00:00Z,0.212449255751015
REKI_151,2015,144,2015-09-20T00:00:00Z,2015-10-31T23:00:00Z,414,2016-02-28T03:00:00Z,2016-03-26T23:00:00Z,2016-03-13T01:00:00Z,0
REKI_153,2015,122,2015-09-20T00:00:00Z,2015-10-10T17:59:00Z,628,2016-04-03T03:00:00Z,2016-05-14T20:00:00Z,2016-04-23T23:30:00Z,0.447452229299363
REKI_157,2015,465,2015-09-20T00:00:00Z,2015-10-24T18:00:00Z,326,2016-04-10T03:00:00Z,2016-04-30T20:00:00Z,2016-04-20T11:30:00Z,0.300613496932515
REKI_161,2015,322,2015-09-20T01:00:00Z,2015-10-24T20:00:00Z,333,2016-04-24T04:00:00Z,2016-05-21T18:00:00Z,2016-05-07T23:00:00Z,0
REKI_17,2016,293,2016-09-04T03:00:00Z,2016-09-24T21:00:00Z,163,2017-04-30T03:00:00Z,2017-05-13T18:00:00Z,2017-05-06T22:30:00Z,0.552147239263804
REKI_171,2015,121,2015-09-20T00:00:00Z,2015-10-03T18:00:00Z,224,2016-04-03T03:00:00Z,2016-04-16T20:00:00Z,2016-04-09T23:30:00Z,0.540178571428571
REKI_172,2015,80,2015-09-20T01:00:00Z,2015-09-26T22:00:00Z,25,2016-02-07T01:00:00Z,2016-02-13T18:00:00Z,2016-02-10T09:30:00Z,0.56
REKI_175,2015,112,2015-10-04T00:00:00Z,2015-11-07T19:00:00Z,182,2016-04-03T02:59:00Z,2016-04-23T19:00:00Z,2016-04-13T10:59:30Z,0
REKI_18,2016,211,2016-09-18T03:01:00Z,2016-10-01T21:00:00Z,504,2017-04-09T03:00:00Z,2017-05-27T18:00:00Z,2017-05-03T10:30:00Z,0.240445859872612
REKI_19,2016,512,2016-10-16T03:00:00Z,2016-11-26T21:00:00Z,182,2017-02-19T05:00:00Z,2017-03-04T21:00:00Z,2017-02-26T01:00:00Z,0.186813186813187
REKI_192,2016,90,2016-12-11T03:00:00Z,2016-12-31T19:00:00Z,180,2017-01-15T18:00:00Z,2017-02-18T21:00:00Z,2017-02-01T19:30:00Z,0.510135135135135
REKI_2,2016,119,2016-12-04T07:00:00Z,2016-12-20T19:00:00Z,224,2017-01-08T03:00:00Z,2017-02-25T21:00:00Z,2017-02-01T12:00:00Z,0.543715846994536
REKI_21,2016,183,2016-10-02T00:01:00Z,2016-10-15T21:00:00Z,81,2017-03-19T00:00:00Z,2017-04-15T18:00:00Z,2017-04-01T21:00:00Z,0.0462962962962963
REKI_228,2016,211,2016-09-25T04:00:00Z,2016-10-08T21:00:00Z,650,2017-03-05T05:00:00Z,2017-05-27T13:01:00Z,2017-04-15T21:00:30Z,0.126274509803922
REKI_262,2017,228,2017-10-08T05:09:00Z,2017-10-28T18:01:00Z,177,2018-03-04T05:09:00Z,2018-03-17T19:01:00Z,2018-03-11T00:05:00Z,0
REKI_27,2016,66,2016-11-27T04:00:00Z,2016-12-03T16:00:00Z,68,2017-01-08T03:00:00Z,2017-01-14T19:00:00Z,2017-01-11T11:00:00Z,0
REKI_282,2017,99,2017-09-10T00:01:00Z,2017-09-23T19:01:00Z,190,2018-03-25T05:09:00Z,2018-04-07T19:01:00Z,2018-04-01T00:05:00Z,0.273684210526316
REKI_285,2017,882,2017-09-17T06:00:00Z,2017-10-21T12:45:00Z,842,2018-04-22T05:30:22Z,2018-05-26T18:30:00Z,2018-05-09T12:00:11Z,0.203087885985748
REKI_29,2016,470,2016-09-25T05:00:00Z,2016-11-05T19:00:00Z,344,2017-03-26T03:00:00Z,2017-04-15T23:00:00Z,2017-04-05T13:00:00Z,0.517441860465116
REKI_297,2017,212,2017-09-24T03:06:00Z,2017-10-14T18:01:00Z,387,2018-03-25T05:09:00Z,2018-06-30T19:01:00Z,2018-05-13T00:05:00Z,0.244880546075085
REKI_3,2016,419,2016-10-23T03:00:00Z,2016-12-31T19:00:00Z,355,2017-04-09T04:00:00Z,2017-07-22T19:00:00Z,2017-05-31T11:30:00Z,0.131101021566402
REKI_302,2017,162,2017-09-24T03:00:57Z,2017-10-07T17:01:00Z,97,2018-03-04T05:09:00Z,2018-03-10T19:01:00Z,2018-03-07T12:05:00Z,0
REKI_308,2017,240,2017-09-17T03:00:00Z,2017-10-07T17:01:00Z,195,2018-04-22T05:09:45Z,2018-05-05T19:01:00Z,2018-04-29T00:05:22.500Z,0.379487179487179
REKI_312,2017,239,2017-10-15T05:11:00Z,2017-11-24T17:01:00Z,140,2018-04-01T06:13:00Z,2018-04-14T19:03:00Z,2018-04-08T00:38:00Z,0
REKI_321,2017,509,2017-09-10T03:00:00Z,2017-09-23T17:45:00Z,640,2018-05-06T06:00:00Z,2018-05-19T18:45:00Z,2018-05-13T00:22:30Z,0.2953125
REKI_325,2017,248,2017-09-17T03:04:00Z,2017-10-07T19:01:00Z,496,2018-03-11T05:09:00Z,2018-04-14T19:01:00Z,2018-03-28T12:05:00Z,0.358870967741936
REKI_329,2017,173,2017-09-17T03:04:00Z,2017-09-30T19:01:00Z,198,2018-04-15T05:09:00Z,2018-04-28T19:01:00Z,2018-04-22T00:05:00Z,0
REKI_330,2017,143,2017-09-10T03:01:00Z,2017-09-23T12:01:00Z,100,2018-04-15T05:09:00Z,2018-04-21T18:01:00Z,2018-04-18T11:35:00Z,0.35
REKI_337,2017,347,2017-09-17T03:05:00Z,2017-10-14T19:01:00Z,283,2018-04-22T05:09:00Z,2018-05-12T19:01:00Z,2018-05-02T12:05:00Z,0.0812720848056537
REKI_342,2017,476,2017-10-29T06:15:00Z,2017-11-11T16:45:00Z,317,2018-04-15T05:15:00Z,2018-04-21T18:30:25Z,2018-04-18T11:52:42.500Z,0.0914826498422713
REKI_343,2017,519,2017-10-01T06:00:00Z,2017-10-14T17:15:00Z,174,2018-04-22T05:30:31Z,2018-04-28T20:01:00Z,2018-04-25T12:45:45.500Z,0
REKI_350,2018,272,2018-08-12T03:05:00Z,2018-11-17T17:01:00Z,171,2019-03-10T05:12:00Z,2019-03-23T17:01:00Z,2019-03-16T23:06:30Z,0.549707602339181
REKI_354,2017,140,2017-09-17T03:01:00Z,2017-09-30T19:01:00Z,229,2018-06-17T04:00:00Z,2018-06-30T21:00:00Z,2018-06-24T00:30:00Z,0.323144104803493
REKI_355,2017,398,2017-09-17T03:01:00Z,2017-10-21T14:01:00Z,295,2018-04-01T05:09:00Z,2018-04-21T19:01:03Z,2018-04-11T12:05:01.500Z,0.0338983050847458
REKI_367,2017,437,2017-09-17T03:01:00Z,2017-11-04T18:01:00Z,294,2018-03-11T05:09:00Z,2018-03-31T17:00:00Z,2018-03-21T11:04:30Z,0
REKI_37,2016,154,2016-10-02T03:00:00Z,2016-10-15T21:00:00Z,162,2017-04-30T03:00:00Z,2017-05-13T21:00:00Z,2017-05-07T00:00:00Z,0.351851851851852
REKI_396,2017,78,2017-09-17T00:01:00Z,2017-09-30T19:01:00Z,78,2018-03-25T05:09:00Z,2018-03-31T12:14:00Z,2018-03-28T08:41:30Z,0.58974358974359
REKI_40,2016,370,2016-10-16T03:00:00Z,2016-12-10T20:00:00Z,771,2017-03-05T06:00:00Z,2017-06-24T21:00:00Z,2017-04-30T01:30:00Z,0.0175342465753425
